Sample Code,alpha_m_per_kg,alpha_upperbound,Rm_per_m,n_runs
Si_C,0.008474631052049451,0.008474631052049451,0.0,2
Si_M,0.005170700292070489,0.005170700292070489,0.0,1
Si_Rep,0.0011601156679028634,0.0011601156679028634,0.0,8
